Data Base;PU Base Manha
2013-05-09;878,72
2013-05-10;873,51
2013-05-13;863,2
2013-05-14;867,14
2013-05-15;851,23
2013-05-16;858,65
2013-05-17;866,13
2013-05-20;857,53
2013-05-21;848,84
2013-05-22;850,87
2013-05-23;842,34
2013-05-24;837,32
2013-05-27;820,45
2013-05-28;810,48
2013-05-29;779,23
2013-05-31;791,03
2013-06-03;768,73
2013-06-04;767,38
2013-06-05;818,84
2013-06-06;790,58
2013-06-07;769,66
2013-06-10;773,3
2013-06-11;662,2
2013-06-12;699,0
2013-06-13;683,5
2013-06-14;721,53
2013-06-17;717,47
2013-06-18;688,62
2013-06-19;686,01
2013-06-20;657,14
2013-06-21;708,09
2013-06-24;685,38
2013-06-25;708,64
2013-06-26;711,8
2013-06-27;720,92
2013-06-28;730,15
2013-07-01;706,77
2013-07-02;712,86
2013-07-03;719,01
2013-07-04;714,8
2013-07-05;690,11
2013-07-08;690,44
2013-07-10;696,58
2013-07-11;691,07
2013-07-12;682,79
2013-07-15;681,72
2013-07-16;696,08
2013-07-17;702,02
2013-07-18;716,82
2013-07-19;725,93
2013-07-22;741,14
2013-07-23;741,3
2013-07-24;756,92
2013-07-25;743,15
2013-07-26;732,66
2013-07-29;735,86
2013-07-30;719,54
2013-07-31;713,8
2013-08-01;719,86
2013-08-02;712,65
2013-08-05;727,64
2013-08-06;733,81
2013-08-07;724,97
2013-08-08;723,64
2013-08-09;728,28
2013-08-12;731,46
2013-08-13;709,41
2013-08-14;695,16
2013-08-15;691,05
2013-08-16;696,96
2013-08-19;694,46
2013-08-20;681,98
2013-08-21;694,89
2013-08-22;683,77
2013-08-23;699,56
2013-08-26;704,2
2013-08-27;700,1
2013-08-28;698,88
2013-08-29;696,23
2013-08-30;680,95
2013-09-02;681,28
2013-09-03;681,49
2013-09-04;680,3
2013-09-05;677,74
2013-09-06;675,09
2013-09-09;678,16
2013-09-10;681,14
2013-09-11;681,35
2013-09-12;678,78
2013-09-13;676,22
2013-09-16;675,19
2013-09-17;676,81
2013-09-18;674,3
2013-09-19;708,39
2013-09-20;702,88
2013-09-23;703,19
2013-09-24;696,29
2013-09-25;693,69
2013-09-26;684,09
2013-09-27;674,64
2013-09-30;672,28
2013-10-01;661,66
2013-10-02;659,2
2013-10-03;664,81
2013-10-04;662,34
2013-10-07;662,72
2013-10-08;664,29
2013-10-09;668,64
2013-10-10;671,59
2013-10-11;671,82
2013-10-14;669,49
2013-10-15;671,08
2013-10-16;671,35
2013-10-17;671,63
2013-10-18;673,27
2013-10-21;669,73
2013-10-22;664,6
2013-10-23;667,58
2013-10-24;673,3
2013-10-25;670,86
2013-10-28;676,86
2013-10-29;677,14
2013-10-30;678,8
2013-10-31;679,08
2013-11-01;671,16
2013-11-04;660,91
2013-11-05;655,87
2013-11-06;646,93
2013-11-07;641,91
2013-11-08;619,29
2013-11-11;617,29
2013-11-12;620,05
2013-11-13;634,21
2013-11-14;639,62
2013-11-18;635,18
2013-11-19;640,62
2013-11-20;629,32
2013-11-21;629,6
2013-11-22;617,34
2013-11-25;615,38
2013-11-26;609,5
2013-11-27;602,47
2013-11-28;601,54
2013-11-29;597,0
2013-12-02;584,48
2013-12-03;572,02
2013-12-04;564,33
2013-12-05;563,46
2013-12-06;571,43
2013-12-09;573,03
2013-12-10;577,88
2013-12-11;591,0
2013-12-12;590,07
2013-12-13;591,51
2013-12-16;593,2
2013-12-17;597,06
2013-12-18;603,35
2013-12-19;603,65
2013-12-20;595,64
2013-12-23;592,7
2013-12-24;595,38
2013-12-26;595,85
2013-12-27;590,24
2013-12-30;596,78
2013-12-31;597,09
2014-01-02;597,56
2014-01-03;591,93
2014-01-06;593,74
2014-01-07;592,86
2014-01-08;591,99
2014-01-09;585,26
2014-01-10;580,25
2014-01-13;586,73
2014-01-14;584,72
2014-01-15;574,66
2014-01-16;572,67
2014-01-17;575,24
2014-01-20;580,39
2014-01-21;574,94
2014-01-22;574,08
2014-01-23;573,23
2014-01-24;546,72
2014-01-27;559,27
2014-01-28;549,65
2014-01-29;545,57
2014-01-30;543,68
2014-01-31;545,02
2014-02-03;546,58
2014-02-04;543,61
2014-02-05;547,11
2014-02-06;552,81
2014-02-07;554,9
2014-02-10;564,21
2014-02-11;555,6
2014-02-12;552,56
2014-02-13;550,63
2014-02-14;557,44
2014-02-17;559,06
2014-02-18;562,67
2014-02-19;566,29
2014-02-20;565,46
2014-02-21;575,89
2014-02-24;585,62
2014-02-25;587,07
2014-02-26;587,36
2014-02-27;591,14
2014-02-28;604,44
2014-03-05;592,26
2014-03-06;591,38
2014-03-07;588,17
2014-03-10;579,5
2014-03-11;569,59
2014-03-12;563,42
2014-03-13;568,17
2014-03-14;569,59
2014-03-17;565,68
2014-03-18;563,75
2014-03-19;560,72
2014-03-20;552,26
2014-03-21;562,41
2014-03-24;564,21
2014-03-25;570,1
2014-03-26;579,46
2014-03-27;585,51
2014-03-28;596,3
2014-03-31;589,92
2014-04-01;589,08
2014-04-02;588,23
2014-04-03;590,87
2014-04-04;590,02
2014-04-07;592,99
2014-04-08;595,64
2014-04-09;601,05
2014-04-10;601,39
2014-04-11;600,54
2014-04-14;601,23
2014-04-15;600,39
2014-04-16;603,06
2014-04-17;604,57
2014-04-22;605,52
2014-04-23;610,62
2014-04-24;614,55
2014-04-25;618,51
2014-04-28;620,38
2014-04-29;615,84
2014-04-30;619,8
2014-05-02;626,41
2014-05-05;642,04
2014-05-06;642,37
2014-05-07;656,76
2014-05-08;667,52
2014-05-09;661,99
2014-05-12;659,99
2014-05-13;655,13
2014-05-14;656,73
2014-05-15;671,41
2014-05-16;665,1
2014-05-19;665,57
2014-05-20;668,45
2014-05-21;672,67
2014-05-22;686,31
2014-05-23;690,64
2014-05-26;687,06
2014-05-27;687,32
2014-05-28;679,53
2014-05-29;687,86
2014-05-30;699,04
2014-06-02;707,83
2014-06-03;691,59
2014-06-04;681,08
2014-06-05;680,01
2014-06-06;676,23
2014-06-09;702,42
2014-06-10;697,19
2014-06-11;693,36
2014-06-12;701,85
2014-06-13;702,12
2014-06-16;715,11
2014-06-17;694,6
2014-06-18;686,72
2014-06-20;689,78
2014-06-23;683,48
2014-06-24;685,07
2014-06-25;692,07
2014-06-26;693,68
2014-06-27;702,14
2014-06-30;688,95
2014-07-01;685,17
2014-07-02;690,81
2014-07-03;684,34
2014-07-04;689,96
2014-07-07;693,1
2014-07-08;696,18
2014-07-09;700,54
2014-07-10;700,8
2014-07-11;696,96
2014-07-14;697,4
2014-07-15;700,4
2014-07-16;696,53
2014-07-17;699,48
2014-07-18;695,61
2014-07-21;719,46
2014-07-22;732,46
2014-07-23;748,39
2014-07-24;735,52
2014-07-25;728,56
2014-07-28;733,1
2014-07-29;727,58
2014-07-30;720,71
2014-07-31;709,74
2014-08-01;701,67
2014-08-04;692,41
2014-08-05;704,86
2014-08-06;691,45
2014-08-07;712,16
2014-08-08;704,85
2014-08-11;713,31
2014-08-12;716,27
2014-08-13;712,27
2014-08-14;697,35
2014-08-15;711,22
2014-08-18;741,27
2014-08-19;754,63
2014-08-20;751,92
2014-08-21;744,87
2014-08-22;735,01
2014-08-25;751,29
2014-08-26;760,36
2014-08-27;769,55
2014-08-28;794,21
2014-08-29;796,0
2014-09-01;802,61
2014-09-02;809,15
2014-09-03;833,48
2014-09-04;825,6
2014-09-05;816,22
2014-09-08;813,4
2014-09-09;794,81
2014-09-10;775,15
2014-09-11;778,42
2014-09-12;781,69
2014-09-15;739,17
2014-09-16;739,44
2014-09-17;754,22
2014-09-18;754,49
2014-09-19;746,02
2014-09-22;750,97
2014-09-23;725,48
2014-09-24;731,41
2014-09-25;743,14
2014-09-26;739,11
2014-09-29;710,16
2014-09-30;691,48
2014-10-01;706,62
2014-10-02;700,1
2014-10-03;708,55
2014-10-06;775,09
2014-10-07;756,09
2014-10-08;774,77
2014-10-09;772,09
2014-10-10;779,94
2014-10-13;802,05
2014-10-14;800,82
2014-10-15;794,95
2014-10-16;757,66
2014-10-17;784,84
2014-10-20;796,12
2014-10-21;739,98
2014-10-22;738,8
2014-10-23;733,4
2014-10-24;721,06
2014-10-27;744,18
2014-10-28;712,19
2014-10-29;736,19
2014-10-30;737,9
2014-10-31;728,3
2014-11-03;742,99
2014-11-04;730,5
2014-11-05;715,48
2014-11-06;729,67
2014-11-07;710,24
2014-11-10;705,26
2014-11-11;713,71
2014-11-12;703,09
2014-11-13;695,31
2014-11-14;683,68
2014-11-17;688,16
2014-11-18;688,47
2014-11-19;696,75
2014-11-20;721,46
2014-11-21;721,76
2014-11-24;763,71
2014-11-25;765,49
2014-11-26;771,72
2014-11-27;780,99
2014-11-28;784,32
2014-12-01;777,4
2014-12-02;755,61
2014-12-03;733,06
2014-12-04;741,85
2014-12-05;739,22
2014-12-08;748,33
2014-12-09;742,91
2014-12-10;731,91
2014-12-11;719,7
2014-12-12;706,37
2014-12-15;700,18
2014-12-16;688,6
2014-12-17;690,26
2014-12-18;693,25
2014-12-19;702,92
2014-12-22;709,03
2014-12-23;717,55
2014-12-24;716,54
2014-12-26;717,08
2014-12-29;719,17
2014-12-30;718,16
2014-12-31;725,41
2015-01-02;725,95
2015-01-05;726,68
2015-01-06;731,21
2015-01-07;744,25
2015-01-08;741,78
2015-01-09;743,5
2015-01-12;757,13
2015-01-13;747,45
2015-01-14;750,67
2015-01-15;751,03
2015-01-16;752,92
2015-01-19;761,15
2015-01-20;755,82
2015-01-21;770,84
2015-01-22;772,77
2015-01-23;762,98
2015-01-26;778,98
2015-01-27;773,54
2015-01-28;772,56
2015-01-29;770,1
2015-01-30;773,53
2015-02-02;762,92
2015-02-03;751,88
2015-02-04;752,36
2015-02-05;741,48
2015-02-06;734,94
2015-02-09;720,8
2015-02-10;722,63
2015-02-11;721,73
2015-02-12;712,69
2015-02-13;722,67
2015-02-18;722,84
2015-02-19;719,19
2015-02-20;723,73
2015-02-23;726,08
2015-02-24;727,9
2015-02-25;721,62
2015-02-26;730,31
2015-02-27;732,16
2015-03-02;768,73
2015-03-03;746,24
2015-03-04;731,34
2015-03-05;735,96
2015-03-06;727,43
2015-03-09;712,24
2015-03-10;710,05
2015-03-11;711,88
2015-03-12;719,11
2015-03-13;698,24
2015-03-16;713,97
2015-03-17;713,12
2015-03-18;729,95
2015-03-19;730,45
2015-03-20;709,26
2015-03-23;717,15
2015-03-24;721,72
2015-03-25;720,87
2015-03-26;721,37
2015-03-27;721,88
2015-03-30;718,98
2015-03-31;723,55
2015-04-01;735,04
